sentence,condition,cleaned_sentence,label
"She was seen as a useful conduit for contracting an alliance between Portugal and England, after the treaty of the Pyrenees in 1659 where Portugal was arguably abandoned by France.",NR,"she was seen as a useful conduit for contracting an alliance between portugal and england, after the treaty of the pyrenees in 1659 where portugal was arguably abandoned by france.",0
Henry Ford advocated long-time associate Harry Bennett to take the spot.,NR,henry ford advocated long-time associate harry bennett to take the spot.,0
"His paternal great-grandfather, Michael Reagan, immigrated to the United States from Ballyporeen, County Tipperary, Ireland in the 1860s.",NR,"his paternal great-grandfather, michael reagan, immigrated to the united states from ballyporeen, county tipperary, ireland in the 1860s.",0
"Prior to his immigration, the family name was spelled Regan.",NR,"prior to his immigration, the family name was spelled regan.",0
"On October 28, Libby was indicted on five felony counts.",NR,"on october 28, libby was indicted on five felony counts.",0
"Hamer erroneously nominated him as Ulysses Simpson Grant, and although Grant protested the change, it was difficult to resist the bureaucracy.",NR,"hamer erroneously nominated him as ulysses simpson grant, and although grant protested the change, it was difficult to resist the bureaucracy.",0
"George W. Bush in March or April, 2005, to be General Counsel of the Department of Homeland Security.",NR,"george w. bush in march or april, 2005, to be general counsel of the department of homeland security.",0
"Rosemary Clooney (May 23, 1928 - June 29, 2002) was an American popular singer and actress.",NR,"rosemary clooney (may 23, 1928 - june 29, 2002) was an american popular singer and actress.",0
"He was honorably discharged in early 1945, just a few months before the Japanese surrendered.",NR,"he was honorably discharged in early 1945, just a few months before the japanese surrendered.",0
"After many football insiders criticized Manning for being 0-3 in the playoffs, he won his first NFL playoff game against the Denver Broncos on January 4, 2004.",NR,"after many football insiders criticized manning for being 0-3 in the playoffs, he won his first nfl playoff game against the denver broncos on january 4, 2004.",0
"Dole studied Law at KU, but his studies were interrupted by the start of World War II.",NR,"dole studied law at ku, but his studies were interrupted by the start of world war ii.",0
"He played Cyrano yet again in the French movie, Cyrano et D'Artagnan.",NR,"he played cyrano yet again in the french movie, cyrano et d'artagnan.",0
"Bush stayed in Houston with another family to finish the school year, and spent most summers and holidays at the family estate, known as the Bush Compound.",NR,"bush stayed in houston with another family to finish the school year, and spent most summers and holidays at the family estate, known as the bush compound.",0
"Though these requests were initially laughed off by Reagan, he says in his autobiography, he eventually gave in, after countless sleepless nights.""""",NR,"though these requests were initially laughed off by reagan, he says in his autobiography, he eventually gave in, after countless sleepless nights.""""",0
"She was named after Margaret Marge Groening, mother of Matt Groening, creator of The Simpsons.",NR,"she was named after margaret marge groening, mother of matt groening, creator of the simpsons.",0
"Since his second Wyoming arrest, Cheney has had no further convictions.",NR,"since his second wyoming arrest, cheney has had no further convictions.",0
This proved to be an regrettable decision.,NR,this proved to be an regrettable decision.,0
He is named for his maternal grandfather.,NR,he is named for his maternal grandfather.,0
"First, masses of people draw together in large population centers and engage in commercial activities.",NR,"first, masses of people draw together in large population centers and engage in commercial activities.",0
"In 1946, Representative James Michael Curley vacated his seat in an overwhelmingly Democratic district to become mayor of Boston and Kennedy ran for that seat, beating his Republican opponent by a large margin.",NR,"in 1946, representative james michael curley vacated his seat in an overwhelmingly democratic district to become mayor of boston and kennedy ran for that seat, beating his republican opponent by a large margin.",0
"When left-wing SLA terrorists kidnapped Patty Hearst in Berkeley and gave a list of demands that included free distribution of food to the poor, Reagan suggested that it would be a good time for an outbreak of botulism.",NR,"when left-wing sla terrorists kidnapped patty hearst in berkeley and gave a list of demands that included free distribution of food to the poor, reagan suggested that it would be a good time for an outbreak of botulism.",0
"His presidency was marked by new economic policies, dubbed Reaganomics and a confrontational foreign policy towards the Soviet Union and Socialist movements around the world.",NR,"his presidency was marked by new economic policies, dubbed reaganomics and a confrontational foreign policy towards the soviet union and socialist movements around the world.",0
"Considered the icon of American liberalism, Kennedy is the youngest person ever to be elected president of the country, at the age of 43.",NR,"considered the icon of american liberalism, kennedy is the youngest person ever to be elected president of the country, at the age of 43.",0
"However, the U.S. Navy accepted him in September of that year.",NR,"however, the u.s. navy accepted him in september of that year.",0
"However, he was not satisfied by the immediate prospects.",NR,"however, he was not satisfied by the immediate prospects.",0
None of the other Bouvier family members approves of Marge's marriage to Homer.,NR,none of the other bouvier family members approves of marge's marriage to homer.,0
"John ran away at age 17 and signed a film contract, but he repeatedly abandoned leading roles and had no major film career.",NR,"john ran away at age 17 and signed a film contract, but he repeatedly abandoned leading roles and had no major film career.",0
"She was born in Cleveland, Ohio but grew up primarily in St. Louis, Missouri.",NR,"she was born in cleveland, ohio but grew up primarily in st. louis, missouri.",0
The business was dissolved in 1834 due to the difficulties in placing Long's locomotive designs into production.,NR,the business was dissolved in 1834 due to the difficulties in placing long's locomotive designs into production.,0
"His behaviour is often oafish, clumsy, and insensitive, but he still remains lovable.",NR,"his behaviour is often oafish, clumsy, and insensitive, but he still remains lovable.",0
"The co-founder, working alongside Bush as a partner, was T. Williard Fair, a well-known local black activist and head of the Greater Miami Urban League.",NR,"the co-founder, working alongside bush as a partner, was t. williard fair, a well-known local black activist and head of the greater miami urban league.",0
"Reagan tried repeatedly to go overseas for combat duty, but was turned down because of his astigmatism.",NR,"reagan tried repeatedly to go overseas for combat duty, but was turned down because of his astigmatism.",0
"In 1998, he began narrating the American version of the children's series Thomas the Tank Engine and Friends.",NR,"in 1998, he began narrating the american version of the children's series thomas the tank engine and friends.",0
"John Fitzgerald Kennedy (May 29, 1917 - November 22, 1963), also known as JFK, was the 35th president of the United States of America.",NR,"john fitzgerald kennedy (may 29, 1917 - november 22, 1963), also known as jfk, was the 35th president of the united states of america.",0
"He is infamous for his 1994 appearance on Saturday Night Live as he potrays Mr. Armstrong, a scoutmaster who is a pedophile, he rips his shirt and puts his mouth around Adam Sandler's neck.",NR,"he is infamous for his 1994 appearance on saturday night live as he potrays mr. armstrong, a scoutmaster who is a pedophile, he rips his shirt and puts his mouth around adam sandler's neck.",0
"They had two children, Dolores Ethel Mae Barrymore and John Drew Barrymore (father of Drew Barrymore).",NR,"they had two children, dolores ethel mae barrymore and john drew barrymore (father of drew barrymore).",0
His nickname is Johnny B. Goode.,NR,his nickname is johnny b. goode.,0
"He was also the father of 3 children, including actress Drew Barrymore.",NR,"he was also the father of 3 children, including actress drew barrymore.",0
"Edsel's widow Eleanor, who had inherited Edsel's voting stock, wanted her son Henry Ford II to take over the position.",NR,"edsel's widow eleanor, who had inherited edsel's voting stock, wanted her son henry ford ii to take over the position.",0
The book was awarded the 1957 Pulitzer Prize for Biography.,NR,the book was awarded the 1957 pulitzer prize for biography.,0
"He was drafted by the San Jose Earthquakes in the third round of the 2005 MLS SuperDraft, but opted to not show up for camp, instead signing with the nearby Sounders.",NR,"he was drafted by the san jose earthquakes in the third round of the 2005 mls superdraft, but opted to not show up for camp, instead signing with the nearby sounders.",0
"When Bush was seventeen, he went to Leon, Mexico, as part of his school's student exchange program.",NR,"when bush was seventeen, he went to leon, mexico, as part of his school's student exchange program.",0
"He spends a great deal of his time at Moe's Tavern with his lifelong friends Barney, Carl, Lenny, and bartender Moe.",NR,"he spends a great deal of his time at moe's tavern with his lifelong friends barney, carl, lenny, and bartender moe.",0
He played a snobby bully opposite Mickey Rooney.,NR,he played a snobby bully opposite mickey rooney.,0
"His parents, Leo-Alcide Kerouac and Gabrielle-Ange Lévesque, were natives of the province of Quebec in Canada.",NR,"his parents, leo-alcide kerouac and gabrielle-ange lévesque, were natives of the province of quebec in canada.",0
"She was very popular and loved by the people, and the Queens borough of New York City was named after her.",NR,"she was very popular and loved by the people, and the queens borough of new york city was named after her.",0
"In this year, he released his first book, O País do Carnaval.",NR,"in this year, he released his first book, o país do carnaval.",0
"The Cockleshell Heroes followed a year later, along with The Great Man.",NR,"the cockleshell heroes followed a year later, along with the great man.",0
"He was undersecretary of Health, Education and Welfare when Weinberger was secretary during the Nixon administration.",NR,"he was undersecretary of health, education and welfare when weinberger was secretary during the nixon administration.",0
In 1923 he was awarded the inaugural Bôcher Memorial Prize by the American Mathematical Society.,NR,in 1923 he was awarded the inaugural bôcher memorial prize by the american mathematical society.,0
"She was born in Maysville, Kentucky, about 60 miles up the Ohio River from Cincinnati, Ohio to Andrew Joseph Clooney and Frances Marie Guilfoyle, both of whom were of Irish descent (Rosemary's paternal great-grandparents, Nicholas Clooney and Bridget Byron, were born in Ireland), although Clooney's paternal grandmother, Crescentia Koch, was German.",NR,"she was born in maysville, kentucky, about 60 miles up the ohio river from cincinnati, ohio to andrew joseph clooney and frances marie guilfoyle, both of whom were of irish descent (rosemary's paternal great-grandparents, nicholas clooney and bridget byron, were born in ireland), although clooney's paternal grandmother, crescentia koch, was german.",0
"After two years of toiling in California he began passage home, by ship, to retrieve his family in New York.",NR,"after two years of toiling in california he began passage home, by ship, to retrieve his family in new york.",0
"At home, he and his family spoke Quebec French.",NR,"at home, he and his family spoke quebec french.",0
The mathematician Garrett Birkhoff (1911-1996) was his son.,NR,the mathematician garrett birkhoff (1911-1996) was his son.,0
"Carlucci was deputy defense secretary from 1981 until 1986, national security advisor from 1986 until 1987, and defense secretary in 1987, following the resignation of Weinberger, his nomination by President Ronald Reagan and his confirmation in the Senate by a vote of 91 to 1.",NR,"carlucci was deputy defense secretary from 1981 until 1986, national security advisor from 1986 until 1987, and defense secretary in 1987, following the resignation of weinberger, his nomination by president ronald reagan and his confirmation in the senate by a vote of 91 to 1.",0
"He was a radio announcer as an affiliate of the Chicago Cubs baseball games, getting only the bare outlines of the game from a ticker and relying on his imagination and storytelling gifts to flesh out the game.",NR,"he was a radio announcer as an affiliate of the chicago cubs baseball games, getting only the bare outlines of the game from a ticker and relying on his imagination and storytelling gifts to flesh out the game.",0
She currently works for the State Department's Near East Affairs Bureau.,NR,she currently works for the state department's near east affairs bureau.,0
"He graduated and practiced law in a small firm which folded, then moved on to the firm of Rosenman, Colin, Kaye, Petschek and Freund, which had CBS Records as a client.",NR,"he graduated and practiced law in a small firm which folded, then moved on to the firm of rosenman, colin, kaye, petschek and freund, which had cbs records as a client.",0
His brother and the Courant's readers did not initially know the real author.,NR,his brother and the courant's readers did not initially know the real author.,0
"It was once mentioned, by Homer, that she actually dyes her hair blue, as she's been gray as a mule since seventeen.",NR,"it was once mentioned, by homer, that she actually dyes her hair blue, as she's been gray as a mule since seventeen.",0
Coltrane began playing music and practicing obsessively at about this time.,NR,coltrane began playing music and practicing obsessively at about this time.,0
"While the identity of William's mother remains unknown, perhaps the responsibility of an infant child gave Franklin a reason to take up residence with Deborah Read.",NR,"while the identity of william's mother remains unknown, perhaps the responsibility of an infant child gave franklin a reason to take up residence with deborah read.",0
"For the next five years, Weinberger was vice president and general counsel of the Bechtel Corporation in California.",NR,"for the next five years, weinberger was vice president and general counsel of the bechtel corporation in california.",0
"In his later years he became known as the last Australian politician to advocate, and use, capital punishment.",NR,"in his later years he became known as the last australian politician to advocate, and use, capital punishment.",0
When he first arrived he worked in several printer shops around town.,NR,when he first arrived he worked in several printer shops around town.,0
"He was the first Republican to defeat an incumbent Democratic president since 1888, and the first from any party to defeat an incumbent elected president since 1932.",NR,"he was the first republican to defeat an incumbent democratic president since 1888, and the first from any party to defeat an incumbent elected president since 1932.",0
"Baldwin has appeared in movies such as The Cooler, The Hunt for Red October, Beetlejuice, Ghosts of Mississippi, Talk Radio, Final Fantasy: The Spirits Within (voice), The Cat in the Hat, Pearl Harbor, Thomas and the Magic Railroad, Along Came Polly, The SpongeBob SquarePants Movie, and The Aviator.",NR,"baldwin has appeared in movies such as the cooler, the hunt for red october, beetlejuice, ghosts of mississippi, talk radio, final fantasy: the spirits within (voice), the cat in the hat, pearl harbor, thomas and the magic railroad, along came polly, the spongebob squarepants movie, and the aviator.",0
He also got to dance and sing as well and held his own against the other cast.,NR,he also got to dance and sing as well and held his own against the other cast.,0
He was the NFL co-MVP in 2003.,NR,he was the nfl co-mvp in 2003.,0
"When Bush was six years old, the family moved to Houston, Texas.",NR,"when bush was six years old, the family moved to houston, texas.",0
"His parents divorced when John was around 6 years old in 1935, but he claimed (most likely fallaciously) to have met his father only once.",NR,"his parents divorced when john was around 6 years old in 1935, but he claimed (most likely fallaciously) to have met his father only once.",0
"On 20 May 1958 they had a second child, Ron.",NR,"on 20 may 1958 they had a second child, ron.",0
"He has rage issues and has been physically and violently abusive, often towards his son, whom he has strangled and even struck on numerous occasions.",NR,"he has rage issues and has been physically and violently abusive, often towards his son, whom he has strangled and even struck on numerous occasions.",0
"Following his death, Catherine remained in England through the reign of James II of England and returned to Portugal during the joint reign of William III and Mary II.",NR,"following his death, catherine remained in england through the reign of james ii of england and returned to portugal during the joint reign of william iii and mary ii.",0
"He was noted for his lyrical playing, and performed with John Coltrane, Dexter Gordon, Hampton Hawes, Jackie McLean, and Ike and Tina Turner, among others.",NR,"he was noted for his lyrical playing, and performed with john coltrane, dexter gordon, hampton hawes, jackie mclean, and ike and tina turner, among others.",0
His nephew is the actor Jack Davenport.,NR,his nephew is the actor jack davenport.,0
"On 2005-04-12, Bob Dole released his biography One Soldier's Story: A Memoir (ISBN 0060763418), which talks of his World War II experiences and his battle to survive his war injuries.",NR,"on 2005-04-12, bob dole released his biography one soldier's story: a memoir (isbn 0060763418), which talks of his world war ii experiences and his battle to survive his war injuries.",0
"At the urging of his wife, Columba, a devout Mexican Catholic, the Protestant Bush became a Roman Catholic.",NR,"at the urging of his wife, columba, a devout mexican catholic, the protestant bush became a roman catholic.",0
"While Franklin was finding himself in London, Deborah married a man named John Rodgers.",NR,"while franklin was finding himself in london, deborah married a man named john rodgers.",0
"He is the leader of the Adalet ve Kalkinma Partisi (AK Party, or Justice and Development Party).",NR,"he is the leader of the adalet ve kalkinma partisi (ak party, or justice and development party).",0
"Erdoğan played semi-professional football for 16 years and worked for Istanbul's municipal transport company, and became active in politics with the now-defunct Islamist National Salvation Party (Milli Selâmet Partisi), led by Necmettin Erbakan.",NR,"erdoğan played semi-professional football for 16 years and worked for istanbul's municipal transport company, and became active in politics with the now-defunct islamist national salvation party (milli selâmet partisi), led by necmettin erbakan.",0
"This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",NR,"this can in part be traced to statements from kurt ludecke, germany's representative to the u.s. in the 1920s, and winifred wagner, daughter-in-law of richard wagner, who said they requested funds from ford to aid the national socialist movement in germany.",0
He also had a memorable recurring role as elegant and flamboyant attorney Reuben Marino on the soap opera Another World in the early 1980s.,NR,he also had a memorable recurring role as elegant and flamboyant attorney reuben marino on the soap opera another world in the early 1980s.,0
He left his apprenticeship without permission and in so doing became a fugitive.,NR,he left his apprenticeship without permission and in so doing became a fugitive.,0
"He was campaign manager for Ford's 1976 presidential campaign, while James Baker served as campaign chairman.",NR,"he was campaign manager for ford's 1976 presidential campaign, while james baker served as campaign chairman.",0
He believed that commercial civilizations rise and fall in predictable cycles.,NR,he believed that commercial civilizations rise and fall in predictable cycles.,0
"While enjoying popular but little critical success during his own lifetime, Kerouac is now considered one of America's most important authors.",NR,"while enjoying popular but little critical success during his own lifetime, kerouac is now considered one of america's most important authors.",0
"She died of cancer there on May 11, 1775.",NR,"she died of cancer there on may 11, 1775.",0
At the end of the war he was a captain on General Douglas MacArthur's intelligence staff.,NR,at the end of the war he was a captain on general douglas macarthur's intelligence staff.,0
"These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",NR,"these experiments culminated in 1896 with the completion of his own self-propelled vehicle named the quadricycle, which he test-drove on june 4 of that year.",0
He guest-starred as himself on NBC's Brooke Shields sitcom Suddenly Susan in January 1997 (shortly after losing the presidential election).,NR,he guest-starred as himself on nbc's brooke shields sitcom suddenly susan in january 1997 (shortly after losing the presidential election).,0
"But White intervened, and arranged for the still-teenaged Evelyn to undergo an operation for appendicitis.",NR,"but white intervened, and arranged for the still-teenaged evelyn to undergo an operation for appendicitis.",0
"Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",NR,"ford was forced out of the company by the investors, including henry m. leland in 1902, and the company was reorganized as cadillac.",0
"Kennedy is also the only Roman Catholic ever to become President, the first president to serve who was born in the 20th century, the last to die while still in office, the last Democrat from the North to be elected, and the last to be elected while serving in the U.S. Senate.",NR,"kennedy is also the only roman catholic ever to become president, the first president to serve who was born in the 20th century, the last to die while still in office, the last democrat from the north to be elected, and the last to be elected while serving in the u.s. senate.",0
Groucho did a German accent.,NR,groucho did a german accent.,0
"Following the restoration of Portuguese independence from Spain, and her father's accession to the throne on December 1, 1640, Catherine was engaged to Charles II.",NR,"following the restoration of portuguese independence from spain, and her father's accession to the throne on december 1, 1640, catherine was engaged to charles ii.",0
"Manning would become Tennessee's all-time leading passer with 11,201 yards, 863 completions and 89 touchdowns, while compiling a 39-6 record as a starter.",NR,"manning would become tennessee's all-time leading passer with 11,201 yards, 863 completions and 89 touchdowns, while compiling a 39-6 record as a starter.",0
"Early in life, he developed an interest in politics and history, and, during the war years, a special admiration for Winston Churchill, whom he would later cite as an important influence.",NR,"early in life, he developed an interest in politics and history, and, during the war years, a special admiration for winston churchill, whom he would later cite as an important influence.",0
"Reagan was reelected in a landslide in the 1984 presidential election, defeating Carter's Vice President Walter Mondale by winning 49 of 50 states and receiving nearly 60 percent of the popular vote.",NR,"reagan was reelected in a landslide in the 1984 presidential election, defeating carter's vice president walter mondale by winning 49 of 50 states and receiving nearly 60 percent of the popular vote.",0
"In 1912, his interests developed into using his mathematical skills assisting Henry Moseley on X-ray diffraction.",NR,"in 1912, his interests developed into using his mathematical skills assisting henry moseley on x-ray diffraction.",0
"One of his first known ancestors was Ralph de Chesney, Sire of Quesnay who fought on the side of William the Conqueror in the Battle of Hastings in 1066.",NR,"one of his first known ancestors was ralph de chesney, sire of quesnay who fought on the side of william the conqueror in the battle of hastings in 1066.",0
He was the younger brother of actors Lionel and Ethel Barrymore and the grandfather of Drew Barrymore.,NR,he was the younger brother of actors lionel and ethel barrymore and the grandfather of drew barrymore.,0
"Dole took many odd-jobs around Russell as a boy, and would later work as a soda jerk in the local drug store.",NR,"dole took many odd-jobs around russell as a boy, and would later work as a soda jerk in the local drug store.",0
He was a naval officer from 1952-54.,NR,he was a naval officer from 1952-54.,0
"Eventually, John Winthrop decided to take Hutchinson out of power before her influence became too strong among the community's men.",NR,"eventually, john winthrop decided to take hutchinson out of power before her influence became too strong among the community's men.",0
She died in Lisbon in 1705.,NR,she died in lisbon in 1705.,0
"He entered the U.S. Army as a private in 1941, was commissioned, and served in the Pacific theater.",NR,"he entered the u.s. army as a private in 1941, was commissioned, and served in the pacific theater.",0
"He made his debut as a film director in the 2002 feature Confessions of a Dangerous Mind, an adaptation of the implausible autobiography of groundbreaking TV producer Chuck Barris.",NR,"he made his debut as a film director in the 2002 feature confessions of a dangerous mind, an adaptation of the implausible autobiography of groundbreaking tv producer chuck barris.",0
"Cheney was elected to represent Wyoming in the U.S. House of Representatives to replace Teno Roncalio, who had resigned from Congress.",NR,"cheney was elected to represent wyoming in the u.s. house of representatives to replace teno roncalio, who had resigned from congress.",0
"He died in Springport, New York in 1815.",NR,"he died in springport, new york in 1815.",0
"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",NR,"during this period, he personally drove his quadricycle to victory in a race against alexander winton, a well-known driver and the heavy favorite on october 10, 1901.",0
"He started writing his first novel, called The Town and the City.",NR,"he started writing his first novel, called the town and the city.",0
"Her most notable physical feature is her blue hair, styled into an improbably high beehive.",NR,"her most notable physical feature is her blue hair, styled into an improbably high beehive.",0
